Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
5:00 AM,Wake Up / Morning Routine,Wake Up / Morning Routine,Wake Up / Morning Routine,Wake Up / Morning Routine,Wake Up / Morning Routine,Rest / Sleep In,Rest / Sleep In
5:30 AM,Exercise / Workout,Exercise / Workout,Exercise / Workout,Exercise / Workout,Exercise / Workout,Rest / Sleep In,Rest / Sleep In
6:30 AM,Shower & Get Ready,Shower & Get Ready,Shower & Get Ready,Shower & Get Ready,Shower & Get Ready,Wake Up / Morning Routine,Wake Up / Morning Routine
7:00 AM,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast,Breakfast
7:30 AM,Review Daily Goals & Plan,Review Daily Goals & Plan,Review Daily Goals & Plan,Review Daily Goals & Plan,Review Weekly Goals,Leisure / Hobbies,Leisure / Hobbies
8:00 AM,Deep Work Block 1,Deep Work Block 1,Deep Work Block 1,Deep Work Block 1,Deep Work Block 1,Personal Projects,Family Time
9:00 AM,Deep Work Block 1,Deep Work Block 1,Deep Work Block 1,Deep Work Block 1,Deep Work Block 1,Personal Projects,Family Time
10:00 AM,Break (10 min),Break (10 min),Break (10 min),Break (10 min),Break (10 min),Errands / Chores,Errands / Chores
10:10 AM,Deep Work Block 2,Deep Work Block 2,Deep Work Block 2,Deep Work Block 2,Deep Work Block 2,Errands / Chores,Errands / Chores
11:00 AM,Deep Work Block 2,Deep Work Block 2,Deep Work Block 2,Deep Work Block 2,Deep Work Block 2,Lunch Prep,Lunch Prep
12:00 PM,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch Break,Lunch,Lunch
12:30 PM,Walk / Light Movement,Walk / Light Movement,Walk / Light Movement,Walk / Light Movement,Walk / Light Movement,Walk / Outdoor Activity,Walk / Outdoor Activity
1:00 PM,Meetings / Calls,Meetings / Calls,Meetings / Calls,Meetings / Calls,Meetings / Calls,Leisure / Hobbies,Leisure / Hobbies
2:00 PM,Meetings / Calls,Meetings / Calls,Meetings / Calls,Meetings / Calls,Admin & Email,Leisure / Hobbies,Leisure / Hobbies
3:00 PM,Admin & Email,Admin & Email,Admin & Email,Admin & Email,Weekly Review & Wrap-Up,Exercise / Outdoor,Exercise / Outdoor
4:00 PM,Deep Work Block 3,Deep Work Block 3,Deep Work Block 3,Deep Work Block 3,Plan Next Week,Exercise / Outdoor,Exercise / Outdoor
5:00 PM,Wrap Up & EOD Review,Wrap Up & EOD Review,Wrap Up & EOD Review,Wrap Up & EOD Review,Shutdown / Personal Time,Dinner Prep,Dinner Prep
5:30 PM,Personal Time / Hobby,Personal Time / Hobby,Personal Time / Hobby,Personal Time / Hobby,Personal Time / Hobby,Dinner,Dinner
6:00 PM,Dinner,Dinner,Dinner,Dinner,Dinner,Family / Social Time,Family / Social Time
7:00 PM,Family / Social Time,Family / Social Time,Family / Social Time,Family / Social Time,Family / Social Time,Entertainment / Relax,Entertainment / Relax
8:00 PM,Learning / Reading,Learning / Reading,Learning / Reading,Learning / Reading,Entertainment / Relax,Entertainment / Relax,Entertainment / Relax
9:00 PM,Wind Down Routine,Wind Down Routine,Wind Down Routine,Wind Down Routine,Wind Down Routine,Wind Down Routine,Wind Down Routine
9:30 PM,No Screens / Journaling,No Screens / Journaling,No Screens / Journaling,No Screens / Journaling,No Screens / Journaling,No Screens / Journaling,No Screens / Journaling
10:00 PM,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
